"geneDescr"	"clGeneIds"	"aaGenePartitions"	"ntGenePartitions"
"Galactitol permease IIC component"	"fig|Bacteroides_1_1_30.peg.3436,fig|Bacteroides_2_1_22.peg.3698,fig|Bacteroides_2_2_4.peg.3672,fig|Bacteroides_3_1_23.peg.2522,fig|Bacteroides_D1.peg.2936,fig|Bacteroides_D22.peg.3310,fig|Bacteroides_D2.peg.3876,fig|Bacteroides_ovatus_3_8_47FAA.peg.3565,fig|Bacteroides_ovatus_ATCC_8483.peg.3057,fig|Bacteroides_ovatus_CL03T12C18.peg.3856,fig|Bacteroides_ovatus_SD_CC_2a.peg.3021,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4988,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3301,fig|Bacteroides_xylanisolvens_XB1A.peg.3122,fig|Bovatus_CL02T12C04.peg.4184,fig|Bovatus_NLAE-zl-C11.peg.2772,fig|Bovatus_NLAE-zl-C34.peg.2863,fig|Bovatus_NLAE-zl-H304.peg.3883,fig|Bovatus_NLAE-zl-H361.peg.3381,fig|Bovatus_NLAE-zl-H59.peg.4320,fig|Bovatus_NLAE-zl-H73.peg.4330,fig|Bxylanisolvens_CL03T12C04.peg.3184,fig|Bxylanisolvens_NLAE-zl-C182.peg.3114,fig|Bxylanisolvens_NLAE-zl-C29.peg.2815,fig|Bxylanisolvens_NLAE-zl-C339.peg.3108,fig|Bxylanisolvens_NLAE-zl-G310.peg.3135,fig|Bxylanisolvens_NLAE-zl-G421.peg.3138,fig|Bxylanisolvens_NLAE-zl-H194.peg.2855,fig|Bxylanisolvens_NLAE-zl-P352.peg.2963,fig|Bxylanisolvens_NLAE-zl-P393.peg.3201,fig|Bxylanisolvens_NLAE-zl-P727.peg.2785,fig|Bxylanisolvens_NLAE-zl-P732.peg.3057,fig|Bxylanisolvens_NLAE-zl-P736.peg.3705"	"199751-200218"	"599251-600654"
"Xaa-Pro aminopeptidase"	"fig|Bacteroides_1_1_30.peg.1938,fig|Bacteroides_2_1_22.peg.2101,fig|Bacteroides_2_2_4.peg.5068,fig|Bacteroides_3_1_23.peg.3315,fig|Bacteroides_D1.peg.1649,fig|Bacteroides_D22.peg.1870,fig|Bacteroides_D2.peg.2069,fig|Bacteroides_ovatus_3_8_47FAA.peg.2020,fig|Bacteroides_ovatus_ATCC_8483.peg.1644,fig|Bacteroides_ovatus_CL03T12C18.peg.2119,fig|Bacteroides_ovatus_SD_CC_2a.peg.1689,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3712,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1680,fig|Bacteroides_xylanisolvens_XB1A.peg.1644,fig|Bovatus_CL02T12C04.peg.2172,fig|Bovatus_NLAE-zl-C11.peg.1468,fig|Bovatus_NLAE-zl-C34.peg.1481,fig|Bovatus_NLAE-zl-H304.peg.2225,fig|Bovatus_NLAE-zl-H361.peg.1823,fig|Bovatus_NLAE-zl-H59.peg.2357,fig|Bovatus_NLAE-zl-H73.peg.2358,fig|Bxylanisolvens_CL03T12C04.peg.1508,fig|Bxylanisolvens_NLAE-zl-C182.peg.1745,fig|Bxylanisolvens_NLAE-zl-C29.peg.1599,fig|Bxylanisolvens_NLAE-zl-C339.peg.1743,fig|Bxylanisolvens_NLAE-zl-G310.peg.1763,fig|Bxylanisolvens_NLAE-zl-G421.peg.1770,fig|Bxylanisolvens_NLAE-zl-H194.peg.1624,fig|Bxylanisolvens_NLAE-zl-P352.peg.1563,fig|Bxylanisolvens_NLAE-zl-P393.peg.1748,fig|Bxylanisolvens_NLAE-zl-P727.peg.1303,fig|Bxylanisolvens_NLAE-zl-P732.peg.1606,fig|Bxylanisolvens_NLAE-zl-P736.peg.2020"	"200219-200686"	"600655-602058"
"Multidrug export protein MepA"	"fig|Bacteroides_1_1_30.peg.4084,fig|Bacteroides_2_1_22.peg.4106,fig|Bacteroides_2_2_4.peg.4095,fig|Bacteroides_3_1_23.peg.4802,fig|Bacteroides_D1.peg.4663,fig|Bacteroides_D22.peg.4621,fig|Bacteroides_D2.peg.4250,fig|Bacteroides_ovatus_3_8_47FAA.peg.3971,fig|Bacteroides_ovatus_ATCC_8483.peg.3412,fig|Bacteroides_ovatus_CL03T12C18.peg.4233,fig|Bacteroides_ovatus_SD_CC_2a.peg.3598,fig|Bacteroides_ovatus_SD_CMC_3f.peg.1538,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3873,fig|Bacteroides_xylanisolvens_XB1A.peg.3536,fig|Bovatus_CL02T12C04.peg.4631,fig|Bovatus_NLAE-zl-C11.peg.3131,fig|Bovatus_NLAE-zl-C34.peg.3411,fig|Bovatus_NLAE-zl-H304.peg.4355,fig|Bovatus_NLAE-zl-H361.peg.3841,fig|Bovatus_NLAE-zl-H59.peg.4699,fig|Bovatus_NLAE-zl-H73.peg.4709,fig|Bxylanisolvens_CL03T12C04.peg.3466,fig|Bxylanisolvens_NLAE-zl-C182.peg.3452,fig|Bxylanisolvens_NLAE-zl-C29.peg.3223,fig|Bxylanisolvens_NLAE-zl-C339.peg.3446,fig|Bxylanisolvens_NLAE-zl-G310.peg.3629,fig|Bxylanisolvens_NLAE-zl-G421.peg.3640,fig|Bxylanisolvens_NLAE-zl-H194.peg.3216,fig|Bxylanisolvens_NLAE-zl-P352.peg.3425,fig|Bxylanisolvens_NLAE-zl-P393.peg.3531,fig|Bxylanisolvens_NLAE-zl-P727.peg.3204,fig|Bxylanisolvens_NLAE-zl-P732.peg.3505,fig|Bxylanisolvens_NLAE-zl-P736.peg.4194"	"200687-201153"	"602059-603459"
"UDP-N-acetylmuramate--L-alanine ligase"	"fig|Bacteroides_1_1_30.peg.2974,fig|Bacteroides_2_1_22.peg.2986,fig|Bacteroides_2_2_4.peg.3024,fig|Bacteroides_3_1_23.peg.3635,fig|Bacteroides_D1.peg.2771,fig|Bacteroides_D22.peg.2886,fig|Bacteroides_D2.peg.3237,fig|Bacteroides_ovatus_3_8_47FAA.peg.2973,fig|Bacteroides_ovatus_ATCC_8483.peg.2515,fig|Bacteroides_ovatus_CL03T12C18.peg.3161,fig|Bacteroides_ovatus_SD_CC_2a.peg.2679,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4530,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2693,fig|Bacteroides_xylanisolvens_XB1A.peg.2694,fig|Bovatus_CL02T12C04.peg.3453,fig|Bovatus_NLAE-zl-C11.peg.2349,fig|Bovatus_NLAE-zl-C34.peg.2436,fig|Bovatus_NLAE-zl-H304.peg.3343,fig|Bovatus_NLAE-zl-H361.peg.2895,fig|Bovatus_NLAE-zl-H59.peg.3640,fig|Bovatus_NLAE-zl-H73.peg.3643,fig|Bxylanisolvens_CL03T12C04.peg.2571,fig|Bxylanisolvens_NLAE-zl-C182.peg.2634,fig|Bxylanisolvens_NLAE-zl-C29.peg.2484,fig|Bxylanisolvens_NLAE-zl-C339.peg.2669,fig|Bxylanisolvens_NLAE-zl-G310.peg.2671,fig|Bxylanisolvens_NLAE-zl-G421.peg.2677,fig|Bxylanisolvens_NLAE-zl-H194.peg.2526,fig|Bxylanisolvens_NLAE-zl-P352.peg.2494,fig|Bxylanisolvens_NLAE-zl-P393.peg.2731,fig|Bxylanisolvens_NLAE-zl-P727.peg.2318,fig|Bxylanisolvens_NLAE-zl-P732.peg.2588,fig|Bxylanisolvens_NLAE-zl-P736.peg.3092"	"201154-201619"	"603460-604857"
"Alkaline phosphatase 3 precursor"	"fig|Bacteroides_1_1_30.peg.5022,fig|Bacteroides_2_1_22.peg.3242,fig|Bacteroides_2_2_4.peg.3310,fig|Bacteroides_3_1_23.peg.3900,fig|Bacteroides_D1.peg.4405,fig|Bacteroides_D22.peg.4904,fig|Bacteroides_D2.peg.3482,fig|Bacteroides_ovatus_3_8_47FAA.peg.3178,fig|Bacteroides_ovatus_ATCC_8483.peg.4790,fig|Bacteroides_ovatus_CL03T12C18.peg.3401,fig|Bacteroides_ovatus_SD_CC_2a.peg.4781,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2807,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2953,fig|Bacteroides_xylanisolvens_XB1A.peg.4639,fig|Bovatus_CL02T12C04.peg.3806,fig|Bovatus_NLAE-zl-C11.peg.4062,fig|Bovatus_NLAE-zl-C34.peg.4150,fig|Bovatus_NLAE-zl-H304.peg.5447,fig|Bovatus_NLAE-zl-H361.peg.4926,fig|Bovatus_NLAE-zl-H59.peg.3880,fig|Bovatus_NLAE-zl-H73.peg.3881,fig|Bxylanisolvens_CL03T12C04.peg.2792,fig|Bxylanisolvens_NLAE-zl-C182.peg.2831,fig|Bxylanisolvens_NLAE-zl-C29.peg.4479,fig|Bxylanisolvens_NLAE-zl-C339.peg.2883,fig|Bxylanisolvens_NLAE-zl-G310.peg.2855,fig|Bxylanisolvens_NLAE-zl-G421.peg.2861,fig|Bxylanisolvens_NLAE-zl-H194.peg.4471,fig|Bxylanisolvens_NLAE-zl-P352.peg.2692,fig|Bxylanisolvens_NLAE-zl-P393.peg.2931,fig|Bxylanisolvens_NLAE-zl-P727.peg.2515,fig|Bxylanisolvens_NLAE-zl-P732.peg.2786,fig|Bxylanisolvens_NLAE-zl-P736.peg.3307"	"201620-202085"	"604858-606255"
"tRNA modification GTPase MnmE"	"fig|Bacteroides_1_1_30.peg.4117,fig|Bacteroides_2_1_22.peg.896,fig|Bacteroides_2_2_4.peg.4254,fig|Bacteroides_3_1_23.peg.4846,fig|Bacteroides_D1.peg.3603,fig|Bacteroides_D22.peg.3771,fig|Bacteroides_D2.peg.4283,fig|Bacteroides_ovatus_3_8_47FAA.peg.4012,fig|Bacteroides_ovatus_ATCC_8483.peg.3441,fig|Bacteroides_ovatus_CL03T12C18.peg.4422,fig|Bacteroides_ovatus_SD_CC_2a.peg.3657,fig|Bacteroides_ovatus_SD_CMC_3f.peg.1599,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3932,fig|Bacteroides_xylanisolvens_XB1A.peg.3592,fig|Bovatus_CL02T12C04.peg.4846,fig|Bovatus_NLAE-zl-C11.peg.3205,fig|Bovatus_NLAE-zl-C34.peg.3172,fig|Bovatus_NLAE-zl-H304.peg.4411,fig|Bovatus_NLAE-zl-H361.peg.3890,fig|Bovatus_NLAE-zl-H59.peg.4724,fig|Bovatus_NLAE-zl-H73.peg.4734,fig|Bxylanisolvens_CL03T12C04.peg.3511,fig|Bxylanisolvens_NLAE-zl-C182.peg.3513,fig|Bxylanisolvens_NLAE-zl-C29.peg.3511,fig|Bxylanisolvens_NLAE-zl-C339.peg.3526,fig|Bxylanisolvens_NLAE-zl-G310.peg.3777,fig|Bxylanisolvens_NLAE-zl-G421.peg.3787,fig|Bxylanisolvens_NLAE-zl-H194.peg.3280,fig|Bxylanisolvens_NLAE-zl-P352.peg.3461,fig|Bxylanisolvens_NLAE-zl-P393.peg.3567,fig|Bxylanisolvens_NLAE-zl-P727.peg.3240,fig|Bxylanisolvens_NLAE-zl-P732.peg.3541,fig|Bxylanisolvens_NLAE-zl-P736.peg.4232"	"202086-202550"	"606256-607650"
"NADH dehydrogenase-like protein"	"fig|Bacteroides_1_1_30.peg.4883,fig|Bacteroides_2_1_22.peg.4490,fig|Bacteroides_2_2_4.peg.5293,fig|Bacteroides_3_1_23.peg.2363,fig|Bacteroides_D1.peg.4266,fig|Bacteroides_D22.peg.4679,fig|Bacteroides_D2.peg.4971,fig|Bacteroides_ovatus_3_8_47FAA.peg.4823,fig|Bacteroides_ovatus_ATCC_8483.peg.4312,fig|Bacteroides_ovatus_CL03T12C18.peg.5244,fig|Bacteroides_ovatus_SD_CC_2a.peg.4437,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2555,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4737,fig|Bacteroides_xylanisolvens_XB1A.peg.4438,fig|Bovatus_CL02T12C04.peg.5985,fig|Bovatus_NLAE-zl-C11.peg.3828,fig|Bovatus_NLAE-zl-C34.peg.3917,fig|Bovatus_NLAE-zl-H304.peg.5424,fig|Bovatus_NLAE-zl-H361.peg.4568,fig|Bovatus_NLAE-zl-H59.peg.5515,fig|Bovatus_NLAE-zl-H73.peg.5538,fig|Bxylanisolvens_CL03T12C04.peg.4449,fig|Bxylanisolvens_NLAE-zl-C182.peg.4185,fig|Bxylanisolvens_NLAE-zl-C29.peg.4249,fig|Bxylanisolvens_NLAE-zl-C339.peg.4198,fig|Bxylanisolvens_NLAE-zl-G310.peg.4355,fig|Bxylanisolvens_NLAE-zl-G421.peg.4353,fig|Bxylanisolvens_NLAE-zl-H194.peg.4116,fig|Bxylanisolvens_NLAE-zl-P352.peg.4273,fig|Bxylanisolvens_NLAE-zl-P393.peg.1201,fig|Bxylanisolvens_NLAE-zl-P727.peg.4064,fig|Bxylanisolvens_NLAE-zl-P732.peg.4339,fig|Bxylanisolvens_NLAE-zl-P736.peg.4905"	"202551-203015"	"607651-609045"
"Outer membrane protein OprM precursor"	"fig|Bacteroides_1_1_30.peg.489,fig|Bacteroides_2_1_22.peg.1384,fig|Bacteroides_2_2_4.peg.421,fig|Bacteroides_3_1_23.peg.1174,fig|Bacteroides_D1.peg.369,fig|Bacteroides_D22.peg.718,fig|Bacteroides_D2.peg.747,fig|Bacteroides_ovatus_3_8_47FAA.peg.850,fig|Bacteroides_ovatus_ATCC_8483.peg.166,fig|Bacteroides_ovatus_CL03T12C18.peg.154,fig|Bacteroides_ovatus_SD_CC_2a.peg.487,fig|Bacteroides_ovatus_SD_CMC_3f.peg.680,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.464,fig|Bacteroides_xylanisolvens_XB1A.peg.462,fig|Bovatus_CL02T12C04.peg.1273,fig|Bovatus_NLAE-zl-C11.peg.468,fig|Bovatus_NLAE-zl-C34.peg.469,fig|Bovatus_NLAE-zl-H304.peg.681,fig|Bovatus_NLAE-zl-H361.peg.559,fig|Bovatus_NLAE-zl-H59.peg.441,fig|Bovatus_NLAE-zl-H73.peg.597,fig|Bxylanisolvens_CL03T12C04.peg.305,fig|Bxylanisolvens_NLAE-zl-C182.peg.507,fig|Bxylanisolvens_NLAE-zl-C29.peg.539,fig|Bxylanisolvens_NLAE-zl-C339.peg.507,fig|Bxylanisolvens_NLAE-zl-G310.peg.597,fig|Bxylanisolvens_NLAE-zl-G421.peg.596,fig|Bxylanisolvens_NLAE-zl-H194.peg.540,fig|Bxylanisolvens_NLAE-zl-P352.peg.452,fig|Bxylanisolvens_NLAE-zl-P393.peg.451,fig|Bxylanisolvens_NLAE-zl-P727.peg.421,fig|Bxylanisolvens_NLAE-zl-P732.peg.450,fig|Bxylanisolvens_NLAE-zl-P736.peg.563"	"203016-203480"	"609046-610440"
"Aminopeptidase E"	"fig|Bacteroides_1_1_30.peg.871,fig|Bacteroides_2_1_22.peg.209,fig|Bacteroides_2_2_4.peg.922,fig|Bacteroides_3_1_23.peg.934,fig|Bacteroides_D1.peg.1396,fig|Bacteroides_D22.peg.834,fig|Bacteroides_D2.peg.1707,fig|Bacteroides_ovatus_3_8_47FAA.peg.1109,fig|Bacteroides_ovatus_ATCC_8483.peg.613,fig|Bacteroides_ovatus_CL03T12C18.peg.844,fig|Bacteroides_ovatus_SD_CC_2a.peg.715,fig|Bacteroides_ovatus_SD_CMC_3f.peg.864,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.724,fig|Bacteroides_xylanisolvens_XB1A.peg.702,fig|Bovatus_CL02T12C04.peg.272,fig|Bovatus_NLAE-zl-C11.peg.666,fig|Bovatus_NLAE-zl-C34.peg.669,fig|Bovatus_NLAE-zl-H304.peg.1066,fig|Bovatus_NLAE-zl-H361.peg.879,fig|Bovatus_NLAE-zl-H59.peg.1096,fig|Bovatus_NLAE-zl-H73.peg.950,fig|Bxylanisolvens_CL03T12C04.peg.708,fig|Bxylanisolvens_NLAE-zl-C182.peg.684,fig|Bxylanisolvens_NLAE-zl-C29.peg.699,fig|Bxylanisolvens_NLAE-zl-C339.peg.684,fig|Bxylanisolvens_NLAE-zl-G310.peg.819,fig|Bxylanisolvens_NLAE-zl-G421.peg.817,fig|Bxylanisolvens_NLAE-zl-H194.peg.815,fig|Bxylanisolvens_NLAE-zl-P352.peg.644,fig|Bxylanisolvens_NLAE-zl-P393.peg.643,fig|Bxylanisolvens_NLAE-zl-P727.peg.613,fig|Bxylanisolvens_NLAE-zl-P732.peg.642,fig|Bxylanisolvens_NLAE-zl-P736.peg.792"	"203481-203949"	"610441-611847"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.3128,fig|Bacteroides_2_1_22.peg.3185,fig|Bacteroides_2_2_4.peg.3244,fig|Bacteroides_3_1_23.peg.3834,fig|Bacteroides_D1.peg.4462,fig|Bacteroides_D22.peg.3032,fig|Bacteroides_D2.peg.3423,fig|Bacteroides_ovatus_3_8_47FAA.peg.3118,fig|Bacteroides_ovatus_ATCC_8483.peg.4731,fig|Bacteroides_ovatus_CL03T12C18.peg.3341,fig|Bacteroides_ovatus_SD_CC_2a.peg.4720,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4715,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2894,fig|Bacteroides_xylanisolvens_XB1A.peg.2873,fig|Bovatus_CL02T12C04.peg.3746,fig|Bovatus_NLAE-zl-C11.peg.2507,fig|Bovatus_NLAE-zl-C34.peg.2599,fig|Bovatus_NLAE-zl-H304.peg.3540,fig|Bovatus_NLAE-zl-H361.peg.3081,fig|Bovatus_NLAE-zl-H59.peg.3820,fig|Bovatus_NLAE-zl-H73.peg.3821,fig|Bxylanisolvens_CL03T12C04.peg.2742,fig|Bxylanisolvens_NLAE-zl-C182.peg.2772,fig|Bxylanisolvens_NLAE-zl-C29.peg.4431,fig|Bxylanisolvens_NLAE-zl-C339.peg.2824,fig|Bxylanisolvens_NLAE-zl-G310.peg.2805,fig|Bxylanisolvens_NLAE-zl-G421.peg.2811,fig|Bxylanisolvens_NLAE-zl-H194.peg.4423,fig|Bxylanisolvens_NLAE-zl-P352.peg.2654,fig|Bxylanisolvens_NLAE-zl-P393.peg.2893,fig|Bxylanisolvens_NLAE-zl-P727.peg.2477,fig|Bxylanisolvens_NLAE-zl-P732.peg.2748,fig|Bxylanisolvens_NLAE-zl-P736.peg.3267"	"203950-204416"	"611848-613248"
"Outer membrane protein OprM precursor"	"fig|Bacteroides_1_1_30.peg.2849,fig|Bacteroides_2_1_22.peg.2873,fig|Bacteroides_2_2_4.peg.2901,fig|Bacteroides_3_1_23.peg.3509,fig|Bacteroides_D1.peg.2659,fig|Bacteroides_D22.peg.2760,fig|Bacteroides_D2.peg.3095,fig|Bacteroides_ovatus_3_8_47FAA.peg.2836,fig|Bacteroides_ovatus_ATCC_8483.peg.2389,fig|Bacteroides_ovatus_CL03T12C18.peg.3030,fig|Bacteroides_ovatus_SD_CC_2a.peg.2560,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4413,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2573,fig|Bacteroides_xylanisolvens_XB1A.peg.2546,fig|Bovatus_CL02T12C04.peg.3325,fig|Bovatus_NLAE-zl-C11.peg.2222,fig|Bovatus_NLAE-zl-C34.peg.2309,fig|Bovatus_NLAE-zl-H304.peg.3196,fig|Bovatus_NLAE-zl-H361.peg.2751,fig|Bovatus_NLAE-zl-H59.peg.3512,fig|Bovatus_NLAE-zl-H73.peg.3515,fig|Bxylanisolvens_CL03T12C04.peg.2446,fig|Bxylanisolvens_NLAE-zl-C182.peg.2502,fig|Bxylanisolvens_NLAE-zl-C29.peg.2363,fig|Bxylanisolvens_NLAE-zl-C339.peg.2554,fig|Bxylanisolvens_NLAE-zl-G310.peg.2554,fig|Bxylanisolvens_NLAE-zl-G421.peg.2560,fig|Bxylanisolvens_NLAE-zl-H194.peg.2394,fig|Bxylanisolvens_NLAE-zl-P352.peg.2375,fig|Bxylanisolvens_NLAE-zl-P393.peg.2612,fig|Bxylanisolvens_NLAE-zl-P727.peg.2199,fig|Bxylanisolvens_NLAE-zl-P732.peg.2469,fig|Bxylanisolvens_NLAE-zl-P736.peg.2972"	"204417-204879"	"613249-614637"
"Spermidine/putrescine import ATP-binding protein PotA"	"fig|Bacteroides_1_1_30.peg.11,fig|Bacteroides_2_1_22.peg.951,fig|Bacteroides_2_2_4.peg.11,fig|Bacteroides_3_1_23.peg.11,fig|Bacteroides_D1.peg.11,fig|Bacteroides_D22.peg.11,fig|Bacteroides_D2.peg.11,fig|Bacteroides_ovatus_3_8_47FAA.peg.11,fig|Bacteroides_ovatus_ATCC_8483.peg.11,fig|Bacteroides_ovatus_CL03T12C18.peg.705,fig|Bacteroides_ovatus_SD_CC_2a.peg.11,fig|Bacteroides_ovatus_SD_CMC_3f.peg.11,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.12,fig|Bacteroides_xylanisolvens_XB1A.peg.11,fig|Bovatus_CL02T12C04.peg.1865,fig|Bovatus_NLAE-zl-C11.peg.11,fig|Bovatus_NLAE-zl-C34.peg.11,fig|Bovatus_NLAE-zl-H304.peg.14,fig|Bovatus_NLAE-zl-H361.peg.11,fig|Bovatus_NLAE-zl-H59.peg.11,fig|Bovatus_NLAE-zl-H73.peg.11,fig|Bxylanisolvens_CL03T12C04.peg.11,fig|Bxylanisolvens_NLAE-zl-C182.peg.11,fig|Bxylanisolvens_NLAE-zl-C29.peg.11,fig|Bxylanisolvens_NLAE-zl-C339.peg.11,fig|Bxylanisolvens_NLAE-zl-G310.peg.11,fig|Bxylanisolvens_NLAE-zl-G421.peg.11,fig|Bxylanisolvens_NLAE-zl-H194.peg.11,fig|Bxylanisolvens_NLAE-zl-P352.peg.11,fig|Bxylanisolvens_NLAE-zl-P393.peg.11,fig|Bxylanisolvens_NLAE-zl-P727.peg.11,fig|Bxylanisolvens_NLAE-zl-P732.peg.11,fig|Bxylanisolvens_NLAE-zl-P736.peg.12"	"204880-205342"	"614638-616026"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.2440,fig|Bacteroides_2_1_22.peg.2501,fig|Bacteroides_2_2_4.peg.2335,fig|Bacteroides_3_1_23.peg.409,fig|Bacteroides_D1.peg.2072,fig|Bacteroides_D22.peg.2363,fig|Bacteroides_D2.peg.2624,fig|Bacteroides_ovatus_3_8_47FAA.peg.2416,fig|Bacteroides_ovatus_ATCC_8483.peg.1993,fig|Bacteroides_ovatus_CL03T12C18.peg.2552,fig|Bacteroides_ovatus_SD_CC_2a.peg.2124,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3888,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2123,fig|Bacteroides_xylanisolvens_XB1A.peg.2043,fig|Bovatus_CL02T12C04.peg.2729,fig|Bovatus_NLAE-zl-C11.peg.1835,fig|Bovatus_NLAE-zl-C34.peg.1936,fig|Bovatus_NLAE-zl-H304.peg.2772,fig|Bovatus_NLAE-zl-H361.peg.2331,fig|Bovatus_NLAE-zl-H59.peg.2813,fig|Bovatus_NLAE-zl-H73.peg.2813,fig|Bxylanisolvens_CL03T12C04.peg.1983,fig|Bxylanisolvens_NLAE-zl-C182.peg.2117,fig|Bxylanisolvens_NLAE-zl-C29.peg.1981,fig|Bxylanisolvens_NLAE-zl-C339.peg.2115,fig|Bxylanisolvens_NLAE-zl-G310.peg.2145,fig|Bxylanisolvens_NLAE-zl-G421.peg.2151,fig|Bxylanisolvens_NLAE-zl-H194.peg.2012,fig|Bxylanisolvens_NLAE-zl-P352.peg.1992,fig|Bxylanisolvens_NLAE-zl-P393.peg.2177,fig|Bxylanisolvens_NLAE-zl-P727.peg.1735,fig|Bxylanisolvens_NLAE-zl-P732.peg.2036,fig|Bxylanisolvens_NLAE-zl-P736.peg.2476"	"205343-205805"	"616027-617415"
"Phosphomannomutase/phosphoglucomutase"	"fig|Bacteroides_1_1_30.peg.3311,fig|Bacteroides_2_1_22.peg.3576,fig|Bacteroides_2_2_4.peg.3570,fig|Bacteroides_3_1_23.peg.4188,fig|Bacteroides_D1.peg.2250,fig|Bacteroides_D22.peg.3195,fig|Bacteroides_D2.peg.3767,fig|Bacteroides_ovatus_3_8_47FAA.peg.3444,fig|Bacteroides_ovatus_ATCC_8483.peg.2794,fig|Bacteroides_ovatus_CL03T12C18.peg.3700,fig|Bacteroides_ovatus_SD_CC_2a.peg.2891,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4891,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3178,fig|Bacteroides_xylanisolvens_XB1A.peg.3002,fig|Bovatus_CL02T12C04.peg.4043,fig|Bovatus_NLAE-zl-C11.peg.2660,fig|Bovatus_NLAE-zl-C34.peg.2751,fig|Bovatus_NLAE-zl-H304.peg.3750,fig|Bovatus_NLAE-zl-H361.peg.3266,fig|Bovatus_NLAE-zl-H59.peg.4027,fig|Bovatus_NLAE-zl-H73.peg.4038,fig|Bxylanisolvens_CL03T12C04.peg.3043,fig|Bxylanisolvens_NLAE-zl-C182.peg.2937,fig|Bxylanisolvens_NLAE-zl-C29.peg.2699,fig|Bxylanisolvens_NLAE-zl-C339.peg.2989,fig|Bxylanisolvens_NLAE-zl-G310.peg.2998,fig|Bxylanisolvens_NLAE-zl-G421.peg.3004,fig|Bxylanisolvens_NLAE-zl-H194.peg.2742,fig|Bxylanisolvens_NLAE-zl-P352.peg.2831,fig|Bxylanisolvens_NLAE-zl-P393.peg.3070,fig|Bxylanisolvens_NLAE-zl-P727.peg.2654,fig|Bxylanisolvens_NLAE-zl-P732.peg.2925,fig|Bxylanisolvens_NLAE-zl-P736.peg.3456"	"205806-206267"	"617416-618801"
"Major Facilitator Superfamily protein"	"fig|Bacteroides_1_1_30.peg.3951,fig|Bacteroides_2_1_22.peg.4012,fig|Bacteroides_2_2_4.peg.3948,fig|Bacteroides_3_1_23.peg.4631,fig|Bacteroides_D1.peg.3230,fig|Bacteroides_D22.peg.3676,fig|Bacteroides_D2.peg.4144,fig|Bacteroides_ovatus_3_8_47FAA.peg.3849,fig|Bacteroides_ovatus_ATCC_8483.peg.3332,fig|Bacteroides_ovatus_CL03T12C18.peg.4131,fig|Bacteroides_ovatus_SD_CC_2a.peg.3438,fig|Bacteroides_ovatus_SD_CMC_3f.peg.1453,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3679,fig|Bacteroides_xylanisolvens_XB1A.peg.3442,fig|Bovatus_CL02T12C04.peg.4465,fig|Bovatus_NLAE-zl-C11.peg.3032,fig|Bovatus_NLAE-zl-C34.peg.3313,fig|Bovatus_NLAE-zl-H304.peg.4251,fig|Bovatus_NLAE-zl-H361.peg.3753,fig|Bovatus_NLAE-zl-H59.peg.4597,fig|Bovatus_NLAE-zl-H73.peg.4607,fig|Bxylanisolvens_CL03T12C04.peg.3367,fig|Bxylanisolvens_NLAE-zl-C182.peg.3356,fig|Bxylanisolvens_NLAE-zl-C29.peg.3115,fig|Bxylanisolvens_NLAE-zl-C339.peg.3350,fig|Bxylanisolvens_NLAE-zl-G310.peg.3379,fig|Bxylanisolvens_NLAE-zl-G421.peg.3385,fig|Bxylanisolvens_NLAE-zl-H194.peg.3109,fig|Bxylanisolvens_NLAE-zl-P352.peg.3330,fig|Bxylanisolvens_NLAE-zl-P393.peg.3628,fig|Bxylanisolvens_NLAE-zl-P727.peg.3109,fig|Bxylanisolvens_NLAE-zl-P732.peg.3410,fig|Bxylanisolvens_NLAE-zl-P736.peg.4091"	"206268-206729"	"618802-620187"
